OBJECTID,GEOID,NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1431,53033009900,"Census Tract 99, King County, Washington",5312,4122,491,352,139,8,8,0,29,29,0,0,0,0,50,27,23,193,53,140,77,65,12,29,29,0,30,30,0,28,0,28,113,38,75,142,142,0,5Y21,Seattle,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",99
1432,53033010001,"Census Tract 100.01, King County, Washington",3937,2064,109,82,27,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,205,48,157,185,65,120,249,169,80,61,50,11,23,0,23,1000,543,457,5Y21,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",100.01
1433,53033010002,"Census Tract 100.02, King County, Washington",4739,3281,506,161,345,0,0,0,18,18,0,20,20,0,8,8,0,81,42,39,433,177,256,92,11,81,54,29,25,246,102,144,0,0,0,0,0,0,5Y21,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",100.02
1434,53033010101,"Census Tract 101.01, King County, Washington",3856,2131,303,132,171,23,23,0,0,0,0,23,23,0,44,27,17,29,0,29,195,57,138,157,31,126,259,144,115,184,132,52,17,17,0,491,172,319,5Y21,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",101.01
1435,53033010102,"Census Tract 101.02, King County, Washington",4326,3880,83,56,27,18,18,0,12,12,0,0,0,0,67,36,31,0,0,0,37,37,0,37,37,0,121,80,41,11,11,0,0,0,0,60,60,0,5Y21,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",101.02
1436,53033010200,"Census Tract 102, King County, Washington",4710,3683,204,191,13,5,5,0,0,0,0,22,22,0,55,44,11,0,0,0,96,71,25,390,179,211,79,79,0,27,27,0,0,0,0,149,101,48,5Y21,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City",102
1437,53033010301,"Census Tract 103.01, King County, Washington",3880,2833,20,20,0,2,2,0,11,11,0,0,0,0,34,34,0,0,0,0,116,34,82,218,128,90,68,26,42,108,48,60,0,0,0,470,116,354,5Y21,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",103.01
1438,53033010302,"Census Tract 103.02, King County, Washington",2962,2374,40,40,0,28,28,0,39,39,0,31,31,0,99,99,0,0,0,0,111,111,0,13,0,13,0,0,0,95,95,0,0,0,0,132,70,62,5Y21,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",103.02
1439,53033010401,"Census Tract 104.01, King County, Washington",4232,1645,343,176,167,35,35,0,0,0,0,0,0,0,9,6,3,18,18,0,871,210,661,294,112,182,109,46,63,328,239,89,108,108,0,472,117,355,5Y21,Seattle,3.5,3,Beacon Hill,Beacon Hill,104.01
1440,53033010402,"Census Tract 104.02, King County, Washington",4561,2169,280,73,207,14,14,0,11,11,0,16,16,0,30,6,24,9,0,9,835,247,588,285,105,180,654,454,200,193,128,65,0,0,0,65,30,35,5Y21,Seattle,3.5,3,Beacon Hill,Beacon Hill,104.02
1441,53033010501,"Census Tract 105.01, King County, Washington",3891,3199,157,92,65,39,39,0,209,202,7,41,41,0,0,0,0,82,23,59,29,21,8,0,0,0,0,0,0,85,85,0,0,0,0,50,50,0,5Y21,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",105.01
1442,53033010502,"Census Tract 105.02, King County, Washington",5653,4982,413,413,0,74,74,0,0,0,0,21,0,21,22,22,0,0,0,0,50,50,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,5Y21,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",105.02
1443,53033010601,"Census Tract 106.01, King County, Washington",4155,3514,277,138,139,61,45,16,32,12,20,30,30,0,21,0,21,27,13,14,131,131,0,20,7,13,26,26,0,16,16,0,0,0,0,0,0,0,5Y21,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",106.01
1444,53033010602,"Census Tract 106.02, King County, Washington",3729,3424,53,53,0,0,0,0,64,41,23,13,0,13,16,16,0,1,0,1,13,13,0,15,15,0,33,0,33,58,29,29,0,0,0,39,39,0,5Y21,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",106.02
1445,53033010701,"Census Tract 107.01, King County, Washington",3801,2983,143,116,27,0,0,0,7,7,0,9,9,0,0,0,0,41,6,35,64,54,10,82,36,46,35,25,10,121,62,59,75,60,15,241,108,133,5Y21,Seattle,2.2,2,High Point,"High Point, Delridge",107.01
1446,53033010702,"Census Tract 107.02, King County, Washington",4367,2483,32,30,2,7,7,0,0,0,0,0,0,0,261,185,76,25,9,16,127,99,28,123,32,91,24,24,0,72,43,29,32,28,4,1181,659,522,5Y21,Seattle,2.2,2,High Point,"High Point, Delridge",107.02
1447,53033010800,"Census Tract 108, King County, Washington",4467,3546,193,147,46,0,0,0,0,0,0,30,8,22,112,107,5,30,21,9,81,34,47,263,128,135,52,41,11,81,25,56,0,0,0,79,79,0,5Y21,Seattle,2.3,2,Riverview,"Riverview, Delridge",108
1448,53033010900,"Census Tract 109, King County, Washington",1122,966,51,34,17,0,0,0,0,0,0,20,0,20,6,6,0,0,0,0,64,28,36,0,0,0,6,6,0,9,6,3,0,0,0,0,0,0,5Y21,Seattle,3.2,3,Georgetown,Georgetown,109
1449,53033011001,"Census Tract 110.01, King County, Washington",4835,1928,223,183,40,0,0,0,24,24,0,64,28,36,9,0,9,0,0,0,424,142,282,813,310,503,211,119,92,114,82,32,119,0,119,906,237,669,5Y21,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",110.01
1450,53033011002,"Census Tract 110.02, King County, Washington",4355,1510,197,73,124,0,0,0,0,0,0,5,5,0,7,7,0,0,0,0,1224,376,848,424,138,286,152,137,15,40,0,40,0,0,0,796,513,283,5Y21,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",110.02
1451,53033011101,"Census Tract 111.01, King County, Washington",5150,2738,99,99,0,0,0,0,36,36,0,0,0,0,192,122,70,0,0,0,124,24,100,920,290,630,342,186,156,298,174,124,125,0,125,276,222,54,5Y21,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",111.01
1452,53033011102,"Census Tract 111.02, King County, Washington",5065,3871,329,130,199,13,0,13,0,0,0,5,0,5,26,12,14,0,0,0,89,49,40,87,48,39,380,135,245,108,55,53,4,0,4,153,104,49,5Y21,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City",111.02
1453,53033011200,"Census Tract 112, King County, Washington",3616,2274,499,189,310,0,0,0,0,0,0,0,0,0,75,11,64,5,0,5,137,31,106,336,108,228,102,98,4,66,21,45,0,0,0,122,25,97,5Y21,Seattle,3.1,3,South Park,South Park,112
1454,53033011300,"Census Tract 113, King County, Washington",5908,4583,552,265,287,16,16,0,13,13,0,13,0,13,1,0,1,16,15,1,78,46,32,162,62,100,262,117,145,70,70,0,0,0,0,142,94,48,5Y21,Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",113
1455,53033011401,"Census Tract 114.01, King County, Washington",4882,3614,238,43,195,29,17,12,11,11,0,26,26,0,88,69,19,18,18,0,79,38,41,379,287,92,242,173,69,75,49,26,45,33,12,38,38,0,5Y21,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",114.01
1456,53033011402,"Census Tract 114.02, King County, Washington",3968,2626,578,200,378,9,9,0,4,4,0,0,0,0,10,10,0,0,0,0,38,38,0,111,73,38,186,154,32,287,89,198,0,0,0,119,46,73,5Y21,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",114.02
1457,53033011500,"Census Tract 115, King County, Washington",4076,3611,176,79,97,71,62,9,36,36,0,29,10,19,9,9,0,44,0,44,0,0,0,30,8,22,25,14,11,45,45,0,0,0,0,0,0,0,5Y21,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",115
1458,53033011601,"Census Tract 116.01, King County, Washington",3106,2887,178,134,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,15,15,0,0,0,0,10,10,0,5Y21,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",116.01
1459,53033011602,"Census Tract 116.02, King County, Washington",3175,2768,173,115,58,113,97,16,0,0,0,14,14,0,45,0,45,0,0,0,21,0,21,41,20,21,0,0,0,0,0,0,0,0,0,0,0,0,5Y21,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",116.02
1460,53033011700,"Census Tract 117, King County, Washington",5196,2450,274,136,138,3,3,0,22,22,0,0,0,0,22,14,8,0,0,0,1052,484,568,677,145,532,199,116,83,345,173,172,15,0,15,137,62,75,5Y21,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",117
1461,53033011801,"Census Tract 118.01, King County, Washington",3039,1820,497,168,329,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,119,36,83,339,185,154,96,96,0,56,20,36,0,0,0,93,49,44,5Y21,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",118.01
1462,53033011802,"Census Tract 118.02, King County, Washington",4212,2978,260,224,36,0,0,0,28,28,0,31,31,0,14,14,0,0,0,0,15,15,0,211,132,79,63,63,0,64,22,42,63,0,63,485,342,143,5Y21,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",118.02
1463,53033011901,"Census Tract 119.01, King County, Washington",4168,2648,243,131,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,82,319,387,30,357,143,67,76,211,93,118,0,0,0,135,59,76,5Y21,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",119.01
1464,53033011902,"Census Tract 119.02, King County, Washington",2981,1919,59,39,20,0,0,0,42,42,0,16,16,0,45,45,0,0,0,0,170,0,170,216,90,126,21,21,0,28,28,0,13,0,13,452,375,77,5Y21,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",119.02
1465,53033012000,"Census Tract 120, King County, Washington",2997,2854,55,20,35,17,17,0,10,10,0,9,9,0,7,7,0,0,0,0,21,0,21,11,0,11,13,11,2,0,0,0,0,0,0,0,0,0,5Y21,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",120
1466,53033012100,"Census Tract 121, King County, Washington",2668,2421,98,74,24,10,10,0,9,9,0,3,3,0,16,16,0,0,0,0,0,0,0,85,32,53,0,0,0,18,18,0,8,0,8,0,0,0,5Y21,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",121
